ticker,company,sector,market_cap,combs_score,weschler_score,combined_score,combs_unit_economics,combs_frictionless,combs_capital_allocation,combs_moat,weschler_variant,weschler_complexity,weschler_distressed,weschler_quality,weschler_compounding,trailing_pe,forward_pe,roic,fcf_yield,gross_margin,operating_margin,revenue_cagr_3y,drawdown_52w,combs_style_flag,weschler_style_flag,run_date,run_timestamp,ticker
AJG,Arthur J. Gallagher & Co.,Financials,54903705600,50.3326035773017,53.67350606886184,52.00305482308177,13.491743514150736,19.194076305220882,5.900578366917714,11.746205391012367,10.08917197452229,11.010162588433829,14.282105263157893,6.268223105492931,12.023843137254902,37.203835,14.396371,0.05798559472294543,0.03251146676700816,0.4257638789269832,0.18333094247597187,0.17699918642049317,-0.3792740291141996,False,False,2026-04-11,2026-04-11 23:14:52,AJG
AIZ,"Assurant, Inc.",Financials,10923267072,49.06826414079345,53.65547601873952,51.36187007976649,11.224899598393574,10.875983935742974,14.467380606656901,12.5,10.10403397027601,10.068207795158045,13.197327935222674,9.34,10.945906318082788,12.951593,9.923839,,0.14632984705621963,,,0.07927210984608024,-0.0818172901339247,False,False,2026-04-11,2026-04-11 23:14:52,AIZ
T,AT&T Inc.,Communication Services,185235259392,64.19600365885319,50.23676557251525,57.21638461568422,17.677476098009897,14.039397590361446,15.949875627667486,16.529254342814347,11.723991507430998,6.237740150580905,12.977562753036437,8.657366586303512,10.6401045751634,8.703947,10.39988,0.08752290850565445,0.10495841916822271,0.5955367375525277,0.198968547052082,0.013367419328691454,-0.0777188349015755,True,False,2026-04-11,2026-04-11 23:14:52,T
ATO,Atmos Energy Corporation,Utilities,31492958208,54.549498286858956,49.28991137758502,51.91970483222199,16.954216984012653,14.398795180722892,7.449770459602551,15.746715662520863,6.9978768577494685,14.66894414876355,4.726429149797571,10.451569687886884,12.445091533387549,24.818775,21.555395,0.05583516982925398,-0.04800892282059196,0.5813101043962529,0.33171428237277933,0.03827025829324082,0.0,False,False,2026-04-11,2026-04-11 23:14:52,ATO
ADSK,"Autodesk, Inc.",Information Technology,46311399424,70.18688597036078,51.04741699350387,60.617151481932325,18.21768636322135,15.656385542168676,20.445334145439467,15.867479919531286,11.144373673036094,3.2124761472058156,13.524016194331983,12.216241610738257,10.950309368191721,41.84866,15.516281,0.35635308442562547,0.051304862939829096,0.9097973910630031,0.24895920066611157,0.12918055811635742,-0.31233674028242325,True,False,2026-04-11,2026-04-11 23:14:52,ADSK
ADP,"Automatic Data Processing, Inc.",Industrials,76355870720,68.70511604334908,66.518236637301,67.61167634032503,16.70861203210865,14.79389558232932,19.171981125347287,18.030627303563826,10.32696390658174,12.138877945089895,14.362024291497974,14.652089659216784,15.03828083491461,18.152885,15.774565,0.3492400202180811,0.05752930270559293,0.46027168071436564,0.2632131861932114,0.07613719280368492,-0.40546922294111876,True,False,2026-04-11,2026-04-11 23:14:52,ADP
AZO,"AutoZone, Inc.",Consumer Discretionary,56835084288,55.23027729880174,58.90160089312677,57.065939095964254,15.706849771752566,11.226726907630521,12.117753173713009,16.178947445705642,8.469214437367302,12.03488300772376,13.955255060728746,15.654248387306966,8.787999999999998,24.037907,19.635761,0.33448956850877476,0.031496038449228665,0.5262486365892685,0.1906230501253068,0.05231525172845841,-0.2004060929535287,False,False,2026-04-11,2026-04-11 23:14:52,AZO
AVB,"AvalonBay Communities, Inc.",Real Estate,23783370752,57.91432593124074,60.02067072238525,58.96749832681299,20.843901130344506,11.543644578313254,9.672050972400653,15.854729250182325,14.042462845010615,13.003930518595446,13.460874493927124,9.6230390304294,9.890363834422658,22.943243,33.98414,0.044017177357713835,0.05912378925017399,0.6313662037836372,0.30247917848539413,0.054467774166829575,-0.14686610001171585,False,False,2026-04-11,2026-04-11 23:14:52,AVB
AVY,Avery Dennison Corporation,Materials,13165119488,46.932175216623406,55.12664957238055,51.029412394501975,9.819492780661339,5.8084538152610445,15.563025603613657,15.741203017087365,11.055201698513798,9.437327837995715,10.982380566801622,13.998286310028018,9.653453159041396,19.45,15.071718,0.14479294935815779,0.051727597354564926,0.28753881768392525,0.12690418384055108,-0.006824275768766208,-0.12397183968661128,False,False,2026-04-11,2026-04-11 23:14:52,AVY
AXON,"Axon Enterprise, Inc.",Industrials,27812771840,29.952959774160732,42.77846673957546,36.36571325686809,7.458379807276741,14.706626506024097,5.126538797345409,2.6614146635144857,9.881104033970276,7.9687547867852295,12.3008016194332,1.7210699159444842,10.906736383442265,227.59212,32.731945,-0.10321712305861352,0.002699515187911598,0.5965474093517767,-0.02233322396256066,0.32787263939187605,-0.5821677882197888,False,False,2026-04-11,2026-04-11 23:14:52,AXON
BKR,Baker Hughes Company,Energy,62312116224,46.213023522640775,43.52602943893785,44.86952648078931,8.111223311452532,11.796465863453816,13.410730499528576,12.894603848205852,6.418259023354565,10.499167748426041,6.733149797570849,9.344916921873981,10.530535947712416,24.165386,22.133059,0.15298507964197539,0.04071439318285991,0.23596437457180977,0.12825875311001333,0.09442943355196065,-0.03360373600675553,False,False,2026-04-11,2026-04-11 23:14:52,BKR
BALL,Ball Corporation,Materials,16578673664,46.95162084515705,52.80327612977143,49.87744848746424,7.95728577064638,11.314216867469879,12.40195905127705,15.278159155763744,11.857749469214438,13.241916985785682,8.623344129554656,7.729123933016226,11.351141612200436,18.875757,13.869314,0.09751852055511419,0.04753094342589745,0.19588177190183118,0.1056150748423372,-0.005287656768822813,-0.0693261522260836,False,False,2026-04-11,2026-04-11 23:14:52,BALL
BAC,Bank of America Corporation,Financials,377062883328,53.791603279911385,46.41521832708878,50.10341080350008,14.347389558232933,17.87269076305221,9.07152295862625,12.5,9.851380042462845,4.605735217758161,9.469076923076923,12.84,9.64902614379085,13.790027,10.536195,,0.03345065387681817,,,0.06003133969580876,-0.03433454037022732,False,False,2026-04-11,2026-04-11 23:14:52,BAC
BAX,Baxter International Inc.,Health Care,8853730304,27.59755494679358,57.23263613292637,42.415095539859976,4.026891430468267,9.660341365461846,5.864496832586199,8.045825318277265,10.0,17.71129324333095,15.44374898785425,4.908190851632241,9.169403050108933,,8.469261,0.010028688230653374,0.036481797943864726,0.3005158306652437,0.01574172892209178,0.0378887286798415,-0.4300256241720067,False,False,2026-04-11,2026-04-11 23:14:52,BAX
BDX,"Becton, Dickinson and Company",Health Care,55873150976,50.30651546810687,60.32929094342164,55.31790320576425,12.05076541811177,14.785542168674699,9.331569437440482,14.138638443879922,12.199575371549894,16.059671091062505,12.013587044534413,10.740026063725809,9.316431372549019,25.199347,11.416295,0.0606361698865323,0.047804713951917856,0.45444139194139194,0.13672161172161174,0.04992975699544888,-0.1205523094964436,False,False,2026-04-11,2026-04-11 23:14:52,BDX
BRK-B,Berkshire Hathaway Inc.,Financials,1035082334208,55.22669735721795,49.105434699991726,52.16606602860484,13.22289156626506,19.859979919678715,9.643825871274176,12.5,11.634819532908704,10.41258713571753,10.622032388663968,6.27,10.165995642701526,15.455717,22.06239,,0.02419324451050655,,,0.20586499585407747,-0.06599716592365908,False,False,2026-04-11,2026-04-11 23:14:52,BRK-B
BBY,"Best Buy Co., Inc.",Consumer Discretionary,13068703744,46.76602792710962,59.54990561325802,53.15796677018382,7.356719163704328,7.691867469879518,18.668703634264773,13.048737659260997,12.630573248407643,10.481596514571299,14.338712550607287,15.896100215025736,6.202923084646045,12.375,8.840363,0.24817132719726487,0.09626050330948568,0.22482070470845025,0.04197548631599146,-0.0343345487205291,-0.21894553028791,False,False,2026-04-11,2026-04-11 23:14:52,BBY
