ticker,company,sector,market_cap,combs_score,weschler_score,combined_score,trailing_pe,roic,fcf_yield,drawdown_52w,combs_style_flag,weschler_style_flag,timestamp
MKC,"McCormick & Company, Incorporated",Consumer Staples,12460881920,50.25626413131151,72.03998769735371,61.14812591433261,7.5983605,0.08748276257837174,0.059417945274936046,-0.3708363724712155,False,False,2026-05-16 11:41:54
AOS,A. O. Smith Corporation,Industrials,7719780864,55.220552963897354,66.83371513252003,61.027134048208694,14.936,0.296466804980305,0.07072739623299235,-0.2778405261789532,False,False,2026-05-16 11:41:54
MTD,Mettler-Toledo International Inc.,Health Care,20846968832,59.8933156651194,61.296088244913676,60.59470195501654,24.211218,0.4495686272928496,0.04070846015260162,-0.3013976684034193,False,True,2026-05-16 11:41:54
MSCI,MSCI Inc.,Financials,40852541440,70.64985071642428,50.349967924562876,60.49990932049358,32.04335,0.43859310180539673,0.03570365388753645,-0.07099177307828193,True,False,2026-05-16 11:41:54
ADSK,"Autodesk, Inc.",Information Technology,49961189376,69.42047992418203,51.53755167165056,60.4790157979163,45.24283,0.35635308442562547,0.04755691427036695,-0.2551390275588119,True,False,2026-05-16 11:41:54
MCD,McDonald's Corporation,Consumer Discretionary,196376723456,69.24736304926145,51.61526291242474,60.431312980843096,22.785656,0.18639926269158844,0.036592931552858345,-0.18508768851613808,True,False,2026-05-16 11:41:54
PYPL,"PayPal Holdings, Inc.",Financials,39174303744,57.17546313330878,63.686463331675746,60.43096323249226,8.332083,0.23968170982105952,0.14203187978426268,-0.3992541075788792,False,False,2026-05-16 11:41:54
SPG,"Simon Property Group, Inc.",Real Estate,76003524608,72.00380348033467,48.843252200394254,60.42352784036446,13.909596,0.09395825394958833,0.042132322369467345,-0.01811399695543312,True,False,2026-05-16 11:41:54
EXPE,"Expedia Group, Inc.",Consumer Discretionary,26132406272,64.7399848791836,56.09192186118778,60.41595337018569,19.234098,0.773726390737927,0.11900932381157188,-0.22981058260974233,True,False,2026-05-16 11:41:54
DPZ,"Domino's Pizza, Inc.",Consumer Discretionary,10054730752,52.71631496466332,68.07868835271886,60.397501658691084,17.392982,0.726400533708083,0.06678488132229998,-0.33890684799415677,False,True,2026-05-16 11:41:54
SNA,Snap-on Incorporated,Industrials,18630559744,59.211944313780016,61.31252505138258,60.262234682581294,18.548222,0.18500896035525954,0.053981201521542434,-0.06194574955160889,False,False,2026-05-16 11:41:54
CTSH,Cognizant Technology Solutions Corporation,Information Technology,22292490240,50.92196913342127,69.52196889751593,60.2219690154686,10.223427,0.1488828627771919,0.11640691425957085,-0.42927916812216527,False,True,2026-05-16 11:41:54
OTIS,Otis Worldwide Corporation,Industrials,27247679488,47.95473206096973,72.39730971634583,60.17602088865778,18.88564,0.8252165760762605,0.05299533858051817,-0.2683227799043258,False,True,2026-05-16 11:41:54
CPB,The Campbell's Company,Consumer Staples,5965911552,51.1579504268868,68.98346225445299,60.070706340669894,10.875,0.09317508138031261,0.1181713798226957,-0.34459692128693115,False,False,2026-05-16 11:41:54
CDW,CDW Corporation,Information Technology,13039794176,45.019803058468874,75.05850250909924,60.03915278378406,12.4324,0.15911492079453704,0.08344456862690898,-0.4208559190618455,False,False,2026-05-16 11:41:54
CPRT,"Copart, Inc.",Industrials,31114860544,63.272537298438216,56.76107800081482,60.016807649626514,20.314465,0.21288350661048347,0.03955537574271186,-0.3417566855932247,False,False,2026-05-16 11:41:54
BKNG,Booking Holdings Inc.,Consumer Discretionary,119432019968,62.38899255895001,57.63371998325985,60.01135627110493,20.333775,,0.07608512359109998,-0.3293104610239288,False,False,2026-05-16 11:41:54
VZ,Verizon Communications Inc.,Communication Services,193620656128,61.265968601275375,58.227608912776304,59.74678875702584,11.309756,0.08655374361086668,0.10162138892346519,-0.06240162176617291,True,False,2026-05-16 11:41:54
HCA,"HCA Healthcare, Inc.",Health Care,93838237696,56.80581552263651,62.27489102737813,59.54035327500732,14.576154,0.22748651034228265,0.0819708488656739,-0.20024704248327546,False,False,2026-05-16 11:41:54
YUM,"Yum! Brands, Inc.",Consumer Discretionary,41334915072,62.88950965411486,56.18606167392324,59.537785664019054,24.227787,0.36838460306334164,0.03965170841999015,-0.10406049238945395,False,False,2026-05-16 11:41:54
META,"Meta Platforms, Inc.",Communication Services,1559175626752,72.86771330279515,46.0755706097297,59.47164195626243,22.319403,0.22086936734053692,0.029572678798251907,-0.2039815382424945,True,False,2026-05-16 11:41:54
IDXX,"IDEXX Laboratories, Inc.",Health Care,41712541696,70.7166205943155,48.1864101223204,59.45151535831795,38.910225,0.4531323317568564,0.025018350778180303,-0.2976437485417731,True,False,2026-05-16 11:41:54
IQV,IQVIA Holdings Inc.,Health Care,28226127872,55.64255437764845,63.230766795364275,59.43666058650636,21.008694,0.4255493918713947,0.07266317255065541,-0.26517488767236996,False,False,2026-05-16 11:41:54
LULU,lululemon athletica inc.,Consumer Discretionary,13976446976,58.6405344019675,59.722031594460056,59.181282998213774,8.984917,0.3147912305181752,0.06594487151009673,-0.4985268184551578,False,False,2026-05-16 11:41:54
