ticker,company,sector,market_cap,trailing_pe,forward_pe,peg_ratio,price_to_book,dividend_yield,short_percent,analyst_count,beta,gross_margin,operating_margin,net_margin,margin_stability,margin_trend,revenue_cagr_3y,revenue_cagr_5y,revenue_acceleration,earnings_cagr_3y,earnings_cagr_5y,interest_coverage,earnings_consistency,revenue_stability,debt_to_equity,roe,roic,altman_z,book_value_growth,fcf,fcf_yield,reinvestment_rate,drawdown_52w,price_vs_200ma,current_price,pe_gap,combs_unit_economics,combs_frictionless,combs_capital_allocation,combs_moat,combs_score,combs_style_flag,weschler_variant,weschler_complexity,weschler_distressed,weschler_quality,weschler_compounding,weschler_score,weschler_style_flag,combined_score
RF,Regions Financial Corporation,Financials,23578875904,11.464729,9.680708,1.61,1.3553419,3.84,0.0788,20.0,1.033,,,0.28647355833111876,,,0.016520184038638863,,0.12761803735791677,-0.013393125873429002,,,0.9283354674726814,0.9659792769802218,0.25647219450716796,0.11321745523289398,,,0.0609268915960699,2151000000.0,0.09122572292070535,0.003986181238373638,-0.032224171659510935,0.04163380119527244,27.6299991607666,-0.1556095220392912,14.499999999999998,11.266474856043025,12.49767680522335,12.5,50.764151661266375,False,9.128809624044802,10.550196411890106,11.670521227473866,14.113919278738747,10.96482277700392,56.42826931915144,False,53.596210490208904
RSG,"Republic Services, Inc.",Industrials,61482872832,28.738506,24.835636,2.88,5.1475925,1.25,0.0150999995,24.0,0.438,0.4195648243023326,0.2002290398408776,0.12892532095714543,0.010779464236404692,0.021633821130197406,0.07084929833650078,0.07084929833650078,-0.03643193482730496,0.12858935886850031,0.12858935886850031,5.7874564459930316,0.8390729076628969,0.9112542690693973,1.1535762032085561,0.17872660427807488,0.10659605105335666,2.8396805912253145,0.07306419818899479,2409000000.0,0.03918164342421858,0.11373636308842143,-0.18001882355178378,-0.07472499429013656,200.02000427246094,-0.13580629417548706,14.114096418931945,12.17737400299399,13.25382611120245,16.88457321187584,56.429869745004225,False,6.371915411143854,9.765268629188723,11.69614169819791,10.765269756968065,11.964946781445658,50.563542276944204,False,53.496706010974215
RMD,ResMed Inc.,Health Care,29991858176,19.919075,17.01097,1.22,4.764714,1.16,0.090900004,15.0,0.845,0.5936214313626009,0.3278831679370549,0.27217916778315876,0.02445217971485947,0.04780646859127985,0.12879187738214926,,-0.011073756315729114,0.2157858391255143,,,0.7370865788206846,0.8481095608584154,0.1427334325425584,0.23471114180144,0.2511360724500488,10.872723065877528,0.2109533297663857,1650946000.0,0.055046472623063926,0.08392898469141195,-0.2416848332858951,-0.1540820916669755,206.75999450683594,-0.14599598625940205,18.469077862926547,14.156871519884678,17.95667132446353,17.338689271255056,67.92130997852982,True,10.70305875549092,10.560995233418765,14.108626467004424,10.883041259680212,11.554542592600578,57.810264308194895,False,62.865787143362354
RVTY,"Revvity, Inc.",Health Care,11292136448,48.557693,17.381308,0.62,1.5641212,0.28,0.1122,14.0,1.051,0.5477370677204294,0.12486996905867577,0.08445262357009731,0.0526789836358708,-0.09938695054630299,-0.04815480072764722,,0.03504968170834733,-0.2488786985011987,,3.868687964419374,0.49748030779197006,0.9085834823162675,0.46869493376880594,0.03326745154723352,0.03277818248935759,2.496254598688833,-0.006019192235899751,509411000.0,0.04511201244740751,0.10131541768686904,-0.07040057693246218,0.059113114276685017,101.0,-0.642048315598519,9.609842996915365,7.367577404101288,7.380603040534971,5.249915654520917,29.607939096072542,False,12.668172018319366,17.2931167213586,10.341210799717821,5.810013714097221,7.690762151602318,53.803275405095334,False,41.70560725058394
HOOD,"Robinhood Markets, Inc.",Financials,69365907456,37.393204,30.119726,,7.4497094,0.0,0.040599998,24.0,2.294,0.833445115135256,0.4681421864520456,0.4209702660406886,0.556120259739402,1.1794823926376126,0.4878747583673768,,-0.06654825964388866,,,,0.0,0.4821948552377363,1.2719912472647703,0.20601750547045952,0.1133289492517649,1.8923933890639153,0.09528937342587862,1584000000.0,0.022835425327705237,0.21260898725687458,-0.47520098501212243,-0.2522303108862187,77.02999877929688,-0.1945133666534699,19.32292232986312,15.991105161857542,13.339657206283679,15.634573211875843,64.28825790988019,True,6.09643605870021,9.610298450262281,12.932469697941386,5.447232669853568,9.315294782282443,43.40173165903989,False,53.84499478446004
ROK,"Rockwell Automation, Inc.",Industrials,50506137600,47.181915,31.492125,2.4,14.446815,1.22,0.033299997,25.0,1.557,0.48141932390314074,0.17058259410213378,0.10417166147206905,0.01774250069089366,-0.0014832787910160627,0.02438220649270817,,0.09709584805417684,-0.023129729774403307,,9.121794871794872,0.770914841545123,0.9360671304402267,0.9980842911877394,0.2378215654077723,0.1701006453861648,5.821808347717451,0.10264439490357269,1358000000.0,0.026887821253629183,0.10369216015344042,0.0,0.1694719935540866,453.8900146484375,-0.3325382193579891,12.313071561114324,13.254675136432404,14.676708387359803,12.279014844804317,52.52346992971085,False,6.997967350028277,4.608957579822271,3.3513435515936636,12.913190270939715,10.489184200652916,38.360642953036844,False,45.44205644137385
ROL,"Rollins, Inc.",Industrials,25917188096,49.385323,38.604973,3.91,18.84804,1.36,0.031,16.0,0.792,0.5275239627231757,0.19304928145065872,0.1400420095452068,0.005006293504380686,0.0100298473112512,0.1173929088277419,,0.007240936622789129,0.12634411992570715,,25.424329434834373,0.8534332766128209,0.8595712286165393,0.7552857010843901,0.3832474363703967,0.23595232252434925,10.978353998147155,0.027419999961794117,650021000.0,0.025080691531513898,0.007467595485303306,-0.14756404575695822,-0.07099362556226886,53.83000183105469,-0.21829056377742023,16.291718780123386,12.960474206553506,14.539566042893313,17.52829790823212,61.32005693780232,False,4.303774860627399,7.093645596301709,9.387573751042135,13.39220320894727,9.014925630598189,43.1921230475167,False,52.25608999265951
ROP,"Roper Technologies, Inc.",Information Technology,34646949888,21.4575,14.369321,1.41,1.8407987,1.06,0.0428,16.0,0.803,0.6924391015501423,0.28287250869977854,0.1944068332806074,0.000626972870332282,-0.0009243564106127811,0.13731706743631933,,-0.016792972759998345,-0.3033890929105755,,6.878153846153846,0.32143932580293033,0.83519278303139,0.47025123858863765,0.07727284158639941,0.061306146835125475,2.4932046068963745,0.07424032611978859,2435600000.0,0.07029767433708708,0.013248971844353053,-0.3896384189067116,-0.1662548859244134,343.32000732421875,-0.3303357334265409,20.92722876903798,11.119805073938839,9.123684379254897,18.438301282051285,59.609019504283,False,14.324535105736071,16.053894105248034,16.983281761046626,5.567986146287584,9.870719285156738,62.800416403475054,False,61.204717953879026
ROST,"Ross Stores, Inc.",Consumer Discretionary,73037094912,34.11027,27.668251,3.29,11.763389,0.79,0.0238,16.0,0.875,0.2770614559404892,0.11900177925298451,0.09428533162635697,0.006977714193251956,0.012543221036603727,0.06761774010986832,0.06761774010986832,0.039816394707128,0.12363229364733974,0.12363229364733974,71.35514733013547,0.8492820815880993,0.9188126804055902,0.842405820950593,0.34667697140805986,0.3002484074792977,7.398287559479417,0.12996709571183218,2207608000.0,0.030225846231423558,0.03601120306538402,-0.008692198015265488,0.20507781891647764,225.80999755859375,-0.1888586340712049,9.663980202911123,16.34430468978955,16.352366752495044,15.051324224021592,57.41197586921731,False,4.735453582864504,6.642035258329542,4.2387008593599695,15.502419800048983,12.329582583420148,43.44819208402315,False,50.430083976620224
RCL,Royal Caribbean Cruises Ltd.,Consumer Discretionary,73817980928,16.80342,13.774603,1.27,7.5247416,1.82,0.0683,24.0,1.777,0.4935318389650942,0.27378164380506304,0.23798371807739488,0.1672823174151672,0.36043322751547024,0.2659259431555814,,-0.09807313384960821,,,4.949596774193548,0.0,0.7202209380208431,2.1953771047125636,0.4252266613529939,0.15418857754364543,2.183483309951878,0.5180676491088672,1236000000.0,0.01674388793166207,0.29156908665105385,-0.23324172369846066,-0.06650734509327694,275.239990234375,-0.1802500324338735,14.573175366300367,15.427940326170466,15.85239174257248,15.161648110661268,61.01515554570458,False,11.592857659220703,10.968330259407411,10.372863624703392,6.0218837030925965,12.58780721312041,51.54374245954452,False,56.279449002624546
